iso_a3,protected_forest_area_ha,pest_record_area_ha_gt0,pest_record_area_ha_gt1,pest_record_share_gt0,pest_record_share_gt1,n_protected_forest_cells,n_cells_with_pest_gt0,n_cells_with_pest_gt1,protected_forest_area_Mha,pest_record_area_Mha_gt0,pest_record_area_Mha_gt1,pest_record_share_pct_gt0,pest_record_share_pct_gt1,formal_en,continent
BRA,245981471.505149,2162711.53818356,2162711.53818356,0.00879217253620786,0.00879217253620786,26206,452,247,245.981471505149,2.16271153818356,2.16271153818356,0.879217253620786,0.879217253620786,Federative Republic of Brazil,South America
RUS,126349693.705177,1322686.41417234,1322686.41417234,0.0104684576225304,0.0104684576225304,33908,605,261,126.349693705177,1.32268641417234,1.32268641417234,1.04684576225304,1.04684576225304,Russian Federation,Europe
CAN,78378256.7516616,4961332.9314533,4961332.9314533,0.0632998632155483,0.0632998632155483,22787,2441,1503,78.3782567516616,4.9613329314533,4.9613329314533,6.32998632155483,6.32998632155483,Canada,North America
USA,61307747.1085127,17095051.1879013,17095051.1879013,0.278839983430539,0.278839983430539,24058,9848,7456,61.3077471085127,17.0950511879013,17.0950511879013,27.8839983430539,27.8839983430539,United States of America,North America
VEN,45560409.106947,342872.825393564,342872.825393564,0.00752567485925588,0.00752567485925588,4503,36,19,45.560409106947,0.342872825393564,0.342872825393564,0.752567485925588,0.752567485925588,Bolivarian Republic of Venezuela,South America
COD,35371100.4562961,41440.1758615673,41440.1758615673,0.00117158288339856,0.00117158288339856,3627,6,2,35.3711004562961,0.0414401758615673,0.0414401758615673,0.117158288339856,0.117158288339856,Democratic Republic of the Congo,Africa
TZA,32467158.4413476,223505.972231352,223505.972231352,0.00688406324917896,0.00688406324917896,3720,48,29,32.4671584413476,0.223505972231352,0.223505972231352,0.688406324917896,0.688406324917896,United Republic of Tanzania,Africa
AUS,27986875.1113631,8154241.27225882,8154241.27225882,0.29135947617632,0.29135947617632,5618,2113,1765,27.9868751113631,8.15424127225882,8.15424127225882,29.135947617632,29.135947617632,Commonwealth of Australia,Oceania
ZMB,26551468.6904313,174248.249734748,174248.249734748,0.00656265955628827,0.00656265955628827,3319,24,10,26.5514686904313,0.174248249734748,0.174248249734748,0.656265955628827,0.656265955628827,Republic of Zambia,Africa
BOL,23408140.5270855,121455.420468451,121455.420468451,0.00518859754485478,0.00518859754485478,2590,17,8,23.4081405270855,0.121455420468451,0.121455420468451,0.518859754485478,0.518859754485478,Plurinational State of Bolivia,South America
-99,22645108.2968344,14743978.9952552,14743978.9952552,0.651088915185992,0.651088915185992,6101,3946,3516,22.6451082968344,14.7439789952552,14.7439789952552,65.1088915185992,65.1088915185992,Republic of Somaliland,Africa
-99,22645108.2968344,14743978.9952552,14743978.9952552,0.651088915185992,0.651088915185992,6101,3946,3516,22.6451082968344,14.7439789952552,14.7439789952552,65.1088915185992,65.1088915185992,Kingdom of Norway,Europe
-99,22645108.2968344,14743978.9952552,14743978.9952552,0.651088915185992,0.651088915185992,6101,3946,3516,22.6451082968344,14.7439789952552,14.7439789952552,65.1088915185992,65.1088915185992,Republic of Kosovo,Europe
