carbon_decile,n_protected_grid,protected_forest_area_mha,mean_carbon_percentile,pred_inside,pred_outside,mean_abs_diff,mean_rel_diff,probability_weighted_area_mha,share_probability_weighted_area
0–10,8604,7137.1280365838,0.0452197657725655,0.0186598107090326,0.0117595238347518,0.00690028687428086,58.6782846928643,49.2482309109012,0.0718717233464458
10–20,6404,4586.66785666087,0.149759239087315,0.0324860057497198,0.0209762339863573,0.0115097717633625,54.8705347721062,52.7915001845179,0.0770426881560461
20–30,6543,4557.95537406796,0.249691729167574,0.0392245103182582,0.0257994919734505,0.0134250183448077,52.0359794627857,61.1906345116774,0.0893001895433218
30–40,6733,4566.76359299325,0.349575400622009,0.0469297352463475,0.0306369292418038,0.0162928060045437,53.1802840811877,74.4053932892521,0.108585501307518
40–50,6318,3774.14363505919,0.447804080134631,0.058274677235902,0.0378107290753855,0.0204639481605165,54.1220670982471,77.2338796981948,0.112713328620554
50–60,5552,2842.75605448271,0.548175061741655,0.0827068706746985,0.0552884993207709,0.0274183713539276,49.5914551683754,77.9437411704331,0.113749283951403
60–70,5227,2550.53753941291,0.648407147355134,0.0967549370284061,0.0651397028435811,0.031615234184825,48.5345078419257,80.6358416057265,0.11767807274498
70–80,4777,2183.57842914818,0.74921612306845,0.117508390343626,0.0808295566932794,0.0366788336503461,45.3779968007615,80.0911099652099,0.116883104051869
80–90,4419,1944.75455448263,0.849316879381883,0.13580989090824,0.0961268180850454,0.0396830728231948,41.2819997725155,77.1738366087739,0.11262570313164
90–100,3653,1523.41213794425,0.945569664494118,0.122725185631012,0.0869437665823451,0.0357814190486671,41.1546686498545,54.509848091609,0.0795504051462226
