biome_name,carbon_decile,n,n_with_pest,prop_with_pest,se,ci_low,ci_high
Boreal Forests/Taiga,0–10,2558,5,0.0019546520719312,0.000873292236549634,0.000242999288293913,0.00366630485556848
Boreal Forests/Taiga,10–20,2558,14,0.00547302580140735,0.00145871940769727,0.0026139357623207,0.008332115840494
Boreal Forests/Taiga,20–30,2558,36,0.0140734949179046,0.00232901873073697,0.00950861820566015,0.0186383716301491
Boreal Forests/Taiga,30–40,2558,37,0.0144644253322909,0.00236067648863836,0.00983749941455966,0.019091351250022
Boreal Forests/Taiga,40–50,2558,40,0.0156372165754496,0.00245305365961042,0.0108292314026131,0.020445201748286
Boreal Forests/Taiga,50–60,2557,41,0.0160344153304654,0.00248399750168458,0.0111657802271636,0.0209030504337672
Boreal Forests/Taiga,60–70,2558,32,0.0125097732603597,0.00219756055965337,0.00820255456343905,0.0168169919572803
Boreal Forests/Taiga,70–80,2558,33,0.0129007036747459,0.00223119152152479,0.0085275682925573,0.0172738390569345
Boreal Forests/Taiga,80–90,2558,36,0.0140734949179046,0.00232901873073697,0.00950861820566015,0.0186383716301491
Boreal Forests/Taiga,90–100,2558,30,0.0117279124315872,0.00212862104687836,0.00755581517970559,0.0159000096834688
Deserts & Xeric Shrublands,0–10,56,7,0.125,0.0441941738241592,0.0383794193046479,0.211620580695352
Deserts & Xeric Shrublands,10–20,55,3,0.0545454545454545,0.0306209221207522,0,0.114562461902129
Deserts & Xeric Shrublands,20–30,55,3,0.0545454545454545,0.0306209221207522,0,0.114562461902129
Deserts & Xeric Shrublands,30–40,55,9,0.163636363636364,0.0498834102742187,0.065864879498895,0.261407847773832
Deserts & Xeric Shrublands,40–50,56,3,0.0535714285714286,0.0300896074287894,0,0.112547059131856
Deserts & Xeric Shrublands,50–60,55,14,0.254545454545455,0.0587370204022986,0.139420894556949,0.36967001453396
Deserts & Xeric Shrublands,60–70,55,7,0.127272727272727,0.0449392276838782,0.0391918410123261,0.215353613533128
Deserts & Xeric Shrublands,70–80,55,4,0.0727272727272727,0.0350163641041067,0.00409519908322352,0.141359346371322
Deserts & Xeric Shrublands,80–90,55,5,0.0909090909090909,0.038763766610111,0.0149321083532734,0.166886073464908
Deserts & Xeric Shrublands,90–100,56,4,0.0714285714285714,0.0344151468449797,0.00397488361241122,0.138882259244732
Flooded Grasslands & Savannas,0–10,127,3,0.0236220472440945,0.0134761516177996,0,0.0500353044149817
Flooded Grasslands & Savannas,10–20,126,3,0.0238095238095238,0.0135818010779036,0,0.0504298539222148
Flooded Grasslands & Savannas,20–30,126,1,0.00793650793650794,0.00790495111993647,0,0.0234302121315834
Flooded Grasslands & Savannas,30–40,126,0,0,0,0,0
Flooded Grasslands & Savannas,40–50,126,2,0.0158730158730159,0.011134482133527,0,0.0376966008547288
Flooded Grasslands & Savannas,50–60,126,0,0,0,0,0
Flooded Grasslands & Savannas,60–70,126,4,0.0317460317460317,0.0156190312318759,0.00113273053155497,0.0623593329605085
Flooded Grasslands & Savannas,70–80,126,5,0.0396825396825397,0.0173908924638602,0.00559639045337364,0.0737686889117057
Flooded Grasslands & Savannas,80–90,126,2,0.0158730158730159,0.011134482133527,0,0.0376966008547288
Flooded Grasslands & Savannas,90–100,127,0,0,0,0,0
Mangroves,0–10,24,0,0,0,0,0
Mangroves,10–20,24,0,0,0,0,0
Mangroves,20–30,23,2,0.0869565217391304,0.0587533847558414,0,0.20211315586058
Mangroves,30–40,24,0,0,0,0,0
Mangroves,40–50,24,4,0.166666666666667,0.0760725774312731,0.0175644149013714,0.315768918431962
Mangroves,50–60,23,1,0.0434782608695652,0.0425225779932022,0,0.126822513736242
