ecoregion,n,n_protected,n_control,pred_inside,pred_outside,abs_diff,rel_diff,mean_carbon
12,1458,729,729,0.497401783944504,0.377538568631324,0.11986321531318,31.7486014071928,0.498807091399684
3,1230,615,615,0.228769186008264,0.14380641537633,0.0849627706319339,59.0813493331247,0.403145302818667
4,15624,7812,7812,0.32269671133316,0.246522345710009,0.0761743656231509,30.8995784555599,0.471354185497228
5,8910,4455,4455,0.205922025212856,0.138194761414968,0.0677272637978887,49.0085608922028,0.464320568714857
13,664,332,332,0.105774969596983,0.0648499721308051,0.0409249974661778,63.1071936062368,0.469547537358517
2,2634,1317,1317,0.0630927273518225,0.0367329274945687,0.0263597998572538,71.7606835478913,0.389251706611736
8,1364,682,682,0.0510131577203764,0.0308810810036378,0.0201320767167386,65.1922667939218,0.352222552027268
10,1080,540,540,0.0394023602382548,0.0214706095788781,0.0179317506593768,83.5176597734669,0.486012995451592
6,14666,7333,7333,0.0273553966089182,0.0152250937217784,0.0121303028871398,79.6730917313711,0.532501022986464
1,44296,22148,22148,0.0232384575432458,0.0129502555534939,0.0102882019897519,79.4440074734757,0.386915583778086
11,1316,658,658,0.0239195075513,0.0139035796976317,0.0100159278536682,72.0384826892768,0.570257382671984
7,22348,11174,11174,0.0212006063809479,0.0114790257858628,0.00972158059508513,84.6899447430282,0.473261328498542
9,828,414,414,0.0171198603904374,0.00946617066996433,0.00765368972047311,80.8530712926809,0.470194029259295
