ecoregion,n,n_protected,n_control,protected_forest_area_mha,mean_carbon,pred_inside,pred_outside,abs_diff,rel_diff,direction,continent
1,44296,22148,22148,21550.8251477527,0.386915583778086,0.0232384575432458,0.0129502555534939,0.0102882019897519,79.4440074734757,Protected > control,South America
2,2634,1317,1317,793.309922904173,0.389251706611736,0.0630927273518225,0.0367329274945687,0.0263597998572538,71.7606835478913,Protected > control,South America
3,1230,615,615,274.650307260097,0.403145302818667,0.228769186008264,0.14380641537633,0.0849627706319339,59.0813493331247,Protected > control,North America
4,15624,7812,7812,3105.87775890244,0.471354185497228,0.32269671133316,0.246522345710009,0.0761743656231509,30.8995784555599,Protected > control,Europe
5,8910,4455,4455,1787.61947938763,0.464320568714857,0.205922025212856,0.138194761414968,0.0677272637978887,49.0085608922028,Protected > control,North America
6,14666,7333,7333,2617.10823124336,0.532501022986464,0.0273553966089182,0.0152250937217784,0.0121303028871398,79.6730917313711,Protected > control,North America
7,22348,11174,11174,4420.47002660581,0.473261328498542,0.0212006063809479,0.0114790257858628,0.00972158059508513,84.6899447430282,Protected > control,Africa
8,1364,682,682,166.915641515054,0.352222552027268,0.0510131577203764,0.0308810810036378,0.0201320767167386,65.1922667939218,Protected > control,Europe
9,828,414,414,188.211139212739,0.470194029259295,0.0171198603904374,0.00946617066996433,0.00765368972047311,80.8530712926809,Protected > control,Africa
10,1080,540,540,221.129562856206,0.486012995451592,0.0394023602382548,0.0214706095788781,0.0179317506593768,83.5176597734669,Protected > control,Africa
11,1316,658,658,169.367260306755,0.570257382671984,0.0239195075513,0.0139035796976317,0.0100159278536682,72.0384826892768,Protected > control,Europe
12,1458,729,729,227.031000550062,0.498807091399684,0.497401783944504,0.377538568631324,0.11986321531318,31.7486014071928,Protected > control,Europe
13,664,332,332,138.080143173501,0.469547537358517,0.105774969596983,0.0648499721308051,0.0409249974661778,63.1071936062368,Protected > control,South America
