carbon_decile,n,pred_inside,inside_lwr,inside_upr,pred_outside,outside_lwr,outside_upr,diff,diff_lwr,diff_upr,rel_diff,rel_diff_lwr,rel_diff_upr,rel_diff_plugin,significant_abs,significant_rel
0–10,8604,0.033672888658618,0.0311831029033402,0.0361906043681865,0.0208114688320368,0.0186907105068082,0.0231970356489529,0.0128614198265811,0.00968836315797025,0.0161717469686187,62.2937152761918,42.9603259116583,85.1510765901998,61.7996736817656,Significant,Significant
10–20,6404,0.0538034192798342,0.0514703836676377,0.0559769102936811,0.0348818380758317,0.0327565621111083,0.0372604287507293,0.0189215812040025,0.0156934475950203,0.022207249973161,54.4207142535125,43.1009250340752,67.1388735214926,54.2447939895476,Significant,Significant
20–30,6543,0.0662343337070316,0.064094570442809,0.0685120947931942,0.0450113663950699,0.0429488954415589,0.0471121053762487,0.0212229673119617,0.0181890858440656,0.0243861110781692,47.2329685408878,39.1160482105176,55.8541007994631,47.1502400653322,Significant,Significant
30–40,6733,0.0779449348193286,0.0750391367581832,0.0809835607431629,0.0548933351659119,0.0526653279859715,0.0570892784224579,0.0230515996534166,0.0194187596293124,0.026693575973692,42.0570597878591,34.1086566262956,50.0914657057285,41.9934397932727,Significant,Significant
40–50,6318,0.0832478812783167,0.0803661993510321,0.086462649485927,0.0586911571023772,0.0561225737464741,0.0612271716325091,0.0245567241759396,0.0204377487919767,0.0284713422137333,41.9071249698462,33.8884064155771,50.2813631177251,41.8405861944489,Significant,Significant
50–60,5552,0.102695142876754,0.0997054278346216,0.105838318068354,0.0738419385098618,0.0708312710740303,0.0766602508699212,0.0288532043668919,0.0244387472213221,0.033128093982136,39.1308613953407,32.1157667328465,46.2897405620805,39.0742780446351,Significant,Significant
60–70,5227,0.115532357450467,0.112391751920335,0.118652737633898,0.0828187111023701,0.0794397778830818,0.0860805497497461,0.032713646348097,0.0281705404269862,0.0372728294286341,39.5581870866773,33.0692612629086,46.5732926515743,39.500308460078,Significant,Significant
70–80,4777,0.133870953834772,0.130566866176788,0.137405410571401,0.0976989063932506,0.0939977047813835,0.101470729539996,0.0361720474415218,0.0312181154971943,0.0413136148692284,37.0735387008548,31.1259923586079,43.4335986664446,37.0240044406686,Significant,Significant
80–90,4419,0.156651879178015,0.152439381490469,0.161253312346577,0.117798765014734,0.113774994927654,0.12200555496717,0.038853114163281,0.0329027790754207,0.0448950540619797,33.0248176552425,27.1700183400993,39.3118010078491,32.9826158690385,Significant,Significant
90–100,3653,0.138027079077232,0.132362085932085,0.143618082648302,0.103603093718507,0.0986402720895115,0.1090025664831,0.0344239853587249,0.0269250641147275,0.0422233138407377,33.3098273095428,25.228464632775,42.4229606344475,33.2267928718962,Significant,Significant
