attribute,level,n_pa,protected_forest_area_mha,area_weighted_pest_prob
Governance,Community/Indigenous,141,44.7472533539522,0.00462424197277809
Governance,Government,1629,193.292502984856,0.0614949440829199
Governance,Not reported,313,80.5488443805345,0.035557184410892
Governance,Private/non-profit,17,0.709581593257488,0.114577863962552
Governance,Shared governance,73,9.74484108461183,0.0427404264692482
IUCN category,II,476,68.5872293556833,0.0372791723511661
IUCN category,III,12,0.756658825316028,0.0592223906634522
IUCN category,IV,284,15.815190845486,0.0326818752779036
IUCN category,Ia,90,13.3201175856159,0.0232435495127297
IUCN category,Ib,132,14.6764046507505,0.100523010394509
IUCN category,Not reported,651,139.312308651963,0.0367380869084284
IUCN category,V,225,18.2003074274931,0.233990293363926
IUCN category,VI,303,58.3748060549047,0.0201299574206508
