country,ISO3,n_pa,protected_forest_area_mha,elevated_visibility_area_mha,area_weighted_pest_prob
United States,USA,492,11.3117580061779,10.2164148226529,0.374003340883935
Canada,CAN,501,19.8025820140692,6.08497904712121,0.0795649284683194
Mexico,MEX,112,5.42037937453597,3.88235618763858,0.193443950031595
Australia,AUS,174,3.4693441993105,3.13009855358295,0.338283918691255
Japan,JPN,102,3.28642169084894,3.02927276911834,0.260718321238825
France,FRA,123,2.73711407262751,2.73711407262751,0.847260978564453
Brazil,BRA,595,93.5301145187079,2.44399513631406,0.00661345038660141
Indonesia,IDN,119,13.7539796313894,1.9148219124911,0.0315682450014949
Russia,RUS,670,23.8610795640391,1.70456045953288,0.0166667505298168
Thailand,THA,119,2.9908767862819,1.40275552848681,0.075230128004952
Colombia,COL,105,12.8455165683743,1.32858693862585,0.0188739180907909
Venezuela,VEN,102,8.62112154273351,1.23710574622252,0.0291056391248248
Spain,ESP,113,1.14256286362188,1.14256286362188,0.81045909290358
Italy,ITA,111,1.03301761058209,1.03301761058209,0.44388783383001
Romania,ROU,63,1.04628395402037,1.00981387971993,0.192235751272427
Guatemala,GTM,18,1.43644942035284,0.908800524394163,0.130943522726538
Chile,CHL,31,3.36347956330944,0.88438529141361,0.0536636249283381
China,CHN,26,1.84100021133097,0.8483578643744,0.0843323553738037
Vietnam,VNM,63,2.00927711052496,0.764338939175184,0.0686820904522213
Nicaragua,NIC,13,1.95652763287392,0.748335725719766,0.0793321624063199
Bolivia,BOL,52,15.6000289026725,0.737368664478293,0.011477372544832
Ukraine,UKR,109,0.903087183066659,0.699090826218086,0.157471768388435
Poland,POL,120,0.627869658267586,0.627869658267586,0.47806345222581
Philippines,PHL,45,1.80496447618745,0.617018545283954,0.0652409472820782
Latvia,LVA,44,0.656273394267385,0.58706670365593,0.162771710473757
Madagascar,MDG,45,1.911478073833,0.5828564106288,0.0488915199621275
Austria,AUT,41,0.512028703007777,0.512028703007777,0.628866886493507
Argentina,ARG,34,1.92303924731082,0.457429934309355,0.0472340921215679
Laos,LAO,26,2.88795166028584,0.415015044997039,0.0340524566271171
Costa Rica,CRI,5,0.43220760735106,0.392267911121967,0.212082225718155
Czechia,CZE,35,0.389191530218703,0.389191530218703,0.700440482823301
Serbia,SRB,27,0.40425666159293,0.381657495165164,0.292039844899441
Papua New Guinea,PNG,8,0.730598941877007,0.37547433222926,0.0790209284636567
Greece,GRC,47,0.373673556128815,0.36650495430065,0.26798749721854
South Korea,KOR,9,0.339435319237459,0.339435319237459,0.471822203982269
Gabon,GAB,17,4.02374988501974,0.327304019331973,0.0202281261008564
Ecuador,ECU,23,3.39599769404791,0.324663640064714,0.0214888581585192
Belarus,BLR,45,0.568671233797807,0.319319292050941,0.0822528013233814
Malaysia,MYS,58,2.41692193167885,0.318680288008519,0.0315254104897655
CAN;USA,CAN;USA,2,0.441495746385038,0.30012280448866,0.244558976018039
Nepal,NPL,18,0.39577066508696,0.262458636409773,0.113368589203093
Lithuania,LTU,48,0.254066849325213,0.252352551699987,0.267959931997159
Georgia,GEO,30,0.482026854496028,0.24775218882858,0.079392797975134
Honduras,HND,22,0.690821409907204,0.246146801202838,0.0861612548266904
Côte d’Ivoire,CIV,105,1.56801293829626,0.235493871019126,0.0333350439581447
Portugal,PRT,13,0.226083526861164,0.226083526861164,0.813878397698045
Bulgaria,BGR,20,0.216017609041879,0.203398253464298,0.157528431271477
Croatia,HRV,28,0.201433495938607,0.201433495938607,0.400762627979229
Cuba,CUB,12,0.210474413516263,0.201285987273749,0.216051845951499
Paraguay,PRY,19,3.07855779194036,0.197103846730466,0.0147593013963281
Sweden,SWE,48,0.19655937123548,0.19655937123548,0.552285971869629
Benin,BEN,14,0.220599894013062,0.183573549718668,0.143202986712955
Germany,DEU,53,0.178770739707474,0.178770739707474,0.790804019382755
Belize,BLZ,9,0.177476275488383,0.177476275488383,0.195071956072322
Guinea,GIN,23,1.47288977112352,0.175878475307006,0.0364888694755626
Bhutan,BTN,15,0.344329472200815,0.161533424405641,0.0727003296402292
India,IND,5,0.345999186787369,0.156277783485053,0.0612513766420162
South Africa,ZAF,28,0.213115241450519,0.154881094999929,0.101389766101026
Tanzania,TZA,127,3.22518286350815,0.139867319517639,0.0119495058526617
Ghana,GHA,54,0.598065097200276,0.139205718162137,0.0442863258449253
Slovakia,SVK,18,0.138137590719634,0.138137590719634,0.582651430355275
Nigeria,NGA,78,1.12222988323956,0.133331953483675,0.0297385370569992
Hungary,HUN,20,0.12904746895048,0.12904746895048,0.526541985102782
Panama,PAN,17,0.769070861612457,0.128927475295129,0.0357204101468151
Estonia,EST,25,0.127914300302857,0.127914300302857,0.304173604913616
Dominican Republic,DOM,13,0.133196488845149,0.127062189154745,0.146287102346471
Azerbaijan,AZE,9,0.223176027256906,0.123723269537617,0.0767435236975539
Congo - Kinshasa,COD,41,23.3199448708153,0.121405300814192,0.00414219450654593
United Kingdom,GBR,34,0.121247768023779,0.121247768023779,0.754429003878048
Myanmar (Burma),MMR,24,2.64056999820715,0.118486816823733,0.0191371138500016
Peru,PER,58,19.0973170190663,0.116667510472182,0.00481404759081148
Taiwan,TWN,7,0.108798978415532,0.108798978415532,0.209915414273377
North Macedonia,MKD,12,0.106732952964891,0.105843625957056,0.248571316832993
Mozambique,MOZ,31,4.71512130028252,0.09004990383824,0.0105778055575369
Ethiopia,ETH,54,2.57040339210623,0.0891191212963137,0.0137570029950517
Bosnia & Herzegovina,BIH,12,0.0856334647208167,0.0856334647208167,0.190561412483727
Kenya,KEN,37,0.297511124661466,0.0766607689591962,0.0383356380888368
Albania,ALB,12,0.0828734404734163,0.0762174241068652,0.187287766061772
Cameroon,CMR,24,2.20319241338036,0.072300552530355,0.011303523042044
ALB;AUT;BEL;BGR;DEU;ESP;HRV;ITA;ROU;SVK;SVN;UKR,ALB;AUT;BEL;BGR;DEU;ESP;HRV;ITA;ROU;SVK;SVN;UKR,1,0.0784573187918198,0.0718851207384099,0.325864637864385
Equatorial Guinea,GNQ,8,0.279432005622515,0.0718527594132336,0.0370363072609679
BLR;POL,BLR;POL,1,0.0656666192329188,0.0643562750870554,0.240943459931852
