IUCN_match,carbon_class,n,net_effect,lwr,upr
Ia,Low carbon,3733,0.0570256651092743,0.0440677381372038,0.0690567515377063
Ia,Medium carbon,1286,0.0581275758069986,0.0299226209723965,0.0861449077857603
Ia,High carbon,659,0.016099543599491,-0.0206988721880106,0.0558296284051061
Ib,Low carbon,4136,0.0644433448338495,0.0477783300191941,0.0808164714000199
Ib,Medium carbon,2772,0.051151598136291,0.0317180819615806,0.0713795057357394
Ib,High carbon,1638,0.0962081631929262,0.063606171301499,0.127779654790433
II,Low carbon,18803,0.029540636860738,0.0247207897512883,0.0340238678505713
II,Medium carbon,7439,0.0392122930541126,0.0305821139322788,0.048002197326512
II,High carbon,3248,0.053102949386657,0.0380366844943941,0.0693559739546982
III,Low carbon,601,0.0624839669154486,0.0284866574169039,0.098021229093897
III,Medium carbon,271,0.0117142491896456,-0.0447865715071397,0.0676485077352906
III,High carbon,118,0.132799419246671,0.0328027819516722,0.233083086641034
IV,Low carbon,7699,0.0232964392028093,0.0162486778349487,0.0308428353889086
IV,Medium carbon,3525,0.043661748702536,0.0290030437322939,0.0584884515805027
IV,High carbon,1748,0.0346479468474484,0.0160266154994569,0.0547379198116006
V,Low carbon,1910,0.0924606154193683,0.0640018058460933,0.11843722984734
V,Medium carbon,1930,0.0738845919191909,0.0488562385014162,0.0965755090695229
V,High carbon,1542,0.0278429770290114,0.00554289564715666,0.0503789388351315
VI,Low carbon,9185,0.00551031003817247,0.00117627064623031,0.0101148863906871
VI,Medium carbon,3447,0.00737948058842389,-0.00292392557872062,0.0181298173773997
VI,High carbon,1860,0.0237071997178965,0.00656078158492367,0.0415584386899966
