SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,n_high_cells,high_carbon_area,mean_net_effect,obs_occurrence_high,pred_inside_high,pred_outside_high,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,continent,IUCN_group,gap_like,carbon_rank,area_rank,asset_score,gap_rank,priority_score,priority_flag
129,14,379.180996647993,0.801134502860606,7,183.640765017342,0.00209003098249773,0,0.00306989328068314,0.000979862298185413,El Tuparro,National Natural Park,National,II,Federal or national ministry or agency,Designated,1980,COL,5547.54021497346,Americas,II,-0.00209003098249773,0.476744186046512,0.201550387596899,0.339147286821705,0.798449612403101,0.270792019710354,FALSE
130,52,5488.84474064906,0.454661529985054,5,345.551644681408,0.00493502565600557,0,0.00725667358601706,0.00232164793001149,Sierra de la Macarena,National Natural Park,National,II,Federal or national ministry or agency,Designated,1971,COL,6204.44043075182,Americas,II,-0.00493502565600557,0.0465116279069768,0.531007751937985,0.288759689922481,0.651162790697675,0.188029565530918,FALSE
132,35,2350.83218679606,0.647867960234983,8,452.595989006729,0.0320850243206593,0,0.0479009764356414,0.0158159521149822,Sierra Nevada de Santa Marta,National Natural Park,National,II,Federal or national ministry or agency,Designated,1964,COL,5741.59966177165,Americas,II,-0.0320850243206593,0.224806201550388,0.655038759689923,0.439922480620155,0.375968992248062,0.165397211706027,FALSE
322,9,674.452966234052,0.790373836169495,6,389.046352539653,0.0278794334033942,0,0.0512275650605437,0.0233481316571496,"Páramos de Tamá, Cobre y Judio",National Park (PN),National,II,Federal or national ministry or agency,Designated,1978,VEN,1381.27638741369,Americas,II,-0.0278794334033942,0.449612403100775,0.593023255813954,0.521317829457364,0.395348837209302,0.206102397692446,FALSE
350,48,1250.56650499132,0.676379929298747,15,354.770530533553,0.0125837496745387,0,0.0185779155337388,0.00599416585920014,Bicuar National Park,National Park,National,II,Not Reported,Designated,1964,AGO,6751.98640050913,Africa,II,-0.0125837496745387,0.263565891472868,0.538759689922481,0.401162790697674,0.51937984496124,0.208355868036777,FALSE
361,9,388.379071760545,0.831702068804109,6,236.095803536946,0.132322928538951,0,0.287985771972049,0.155662843433099,Guy Fawkes River,National Park,National,Ib,Sub-national ministry or agency,Designated,2010,AUS,1082.35992507895,Oceania,Ib,-0.132322928538951,0.608527131782946,0.313953488372093,0.461240310077519,0.12015503875969,0.0554203473348957,FALSE
410,10,192.363761881058,0.836316492591768,7,103.40299532601,0.162363556857102,0.342893510620631,0.279697163806666,0.117333606949564,Cape Melville,National Park Aboriginal,National,II,Joint governance,Designated,2013,AUS,1699.88119120079,Oceania,II,-0.162363556857102,0.62015503875969,0.0387596899224806,0.329457364341085,0.0697674418604651,0.0229853975121687,FALSE
606,20,373.786997582997,0.817835837970857,14,263.415608067433,0.00363166747750651,0,0.00533679522899728,0.00170512775149077,Bouba Ndjida,National Park,National,II,Federal or national ministry or agency,Designated,1968,CMR,2115.47176412852,Africa,II,-0.00363166747750651,0.577519379844961,0.352713178294574,0.465116279069768,0.713178294573643,0.331710834685416,FALSE
607,15,335.485705849897,0.738972859918505,5,121.262554998187,0.00376890465882834,0,0.0055395172135267,0.00177061255469836,Bénoué,National Park,National,II,Federal or national ministry or agency,Designated,1968,CMR,1980.33686048121,Africa,II,-0.00376890465882834,0.333333333333333,0.0658914728682171,0.199612403100775,0.701550387596899,0.140038158764497,FALSE
618,36,1802.37546485886,0.923031289587919,35,1774.76840162769,0.119562428406793,0.255327630713123,0.194657710343384,0.0750952819365916,Riding Mountain National Park Of Canada,National Park,National,II,Federal or national ministry or agency,Designated,1929,CAN,3059.49635245151,Americas,II,-0.119562428406793,0.86046511627907,0.945736434108527,0.903100775193798,0.143410852713178,0.129514452256475,FALSE
624,12,528.411763423174,0.877456447816015,10,462.740989283156,0.0925251888161197,0.543414432405964,0.148565764124653,0.0560405753085331,Cape Breton Highlands National Park Of Canada,National Park,National,II,Federal or national ministry or agency,Designated,1936,CAN,951.720145457915,Americas,II,-0.0925251888161197,0.767441860465116,0.674418604651163,0.72093023255814,0.217054263565891,0.156480980710294,FALSE
639,116,4158.59290667606,0.676662513296161,59,1908.9758094114,0.000301150286645182,0,0.000441871937687381,0.0001407216510422,Bamingui-Bangoran,National Park,National,II,Not Reported,Designated,1933,CAF,11191.1734540481,Africa,II,-0.000301150286645182,0.267441860465116,0.957364341085271,0.612403100775194,0.972868217054264,0.595787512769665,TRUE
736,8,324.918434892833,0.954338909916659,8,324.918434892833,0.167923603160707,0.417588787382873,0.539715643269833,0.371792040109126,Aso kuju,National Park,National,V,Federal or national ministry or agency,Designated,2020,JPN,731.542796713119,Asia,V,-0.167923603160707,0.953488372093023,0.488372093023256,0.72093023255814,0.0581395348837209,0.041914548404543,FALSE
801,77,3195.50970462917,0.368210600844167,5,211.296083662203,0.0230837967809509,0,0.0355649596076831,0.0124811628267322,Gorongoza,Buffer Zone,National,VI,Collaborative governance,Designated,2010,MOZ,9446.43677224974,Africa,VI,-0.0230837967809509,0.0232558139534884,0.25968992248062,0.141472868217054,0.422480620155039,0.0597695450994532,FALSE
803,5,165.789769935741,0.923496543156102,5,165.789769935741,0.0474822406012152,0.10132234286348,0.0715552870647628,0.0240730464635477,Langtang,National Park,National,II,Federal or national ministry or agency,Designated,1976,NPL,1658.55530841241,Asia,II,-0.0474822406012152,0.864341085271318,0.147286821705426,0.505813953488372,0.321705426356589,0.162723093564089,FALSE
819,43,715.91279518349,0.779764084315407,25,430.523097400568,0.0210823663530053,0,0.0314147448620125,0.0103323785090073,Kainji Lake,National Park,National,II,Federal or national ministry or agency,Designated,1979,NGA,5824.45366174184,Africa,II,-0.0210823663530053,0.430232558139535,0.616279069767442,0.523255813953488,0.437984496124031,0.229177934018388,FALSE
960,12,172.698829327618,0.810628712434045,6,78.9093023678491,0.153512455407576,0.816665943278241,0.671947740752118,0.518435285344542,Eryri,National Park,National,V,Sub-national ministry or agency,Designated,1951,GBR,2140.05406275304,Europe,V,-0.153512455407576,0.554263565891473,0.0116279069767442,0.282945736434109,0.0813953488372093,0.0230304669190554,FALSE
983,9,270.561732437453,0.870861578749253,9,270.561732437453,0.178932498113008,0.505880629633217,0.347582079930228,0.16864958181722,Grand Teton,National Park,National,II,Federal or national ministry or agency,Designated,1929,USA,1115.77689905493,Americas,II,-0.178932498113008,0.751937984496124,0.372093023255814,0.562015503875969,0.0465116279069768,0.0261402559942311,FALSE
990,8,498.16054390902,0.928885730125075,8,498.16054390902,0.2291184391664,0.280962866559652,0.678314782166084,0.449196342999684,Crater Lake,National Park,National,II,Federal or national ministry or agency,Designated,1902,USA,740.735903513612,Americas,II,-0.2291184391664,0.887596899224806,0.717054263565892,0.802325581395349,0.0155038759689922,0.0124391563007031,FALSE
1009,49,1036.65565024773,0.882323780089933,38,871.737265005968,0.00315398232779562,0,0.00488796443549749,0.00173398210770187,Katmai Bay,National Park,National,II,Federal or national ministry or agency,Designated,1980,USA,14666.6650936759,Americas,II,-0.00315398232779562,0.794573643410853,0.852713178294574,0.823643410852713,0.744186046511628,0.612943933657833,TRUE
1094,11,399.371019291256,0.854433617106952,10,366.37878757311,0.00249156094668276,0,0.00366025958774644,0.00116869864106368,Lavushi Manda,National Park,National,II,Federal or national ministry or agency,Designated,1972,ZMB,1576.19028608542,Africa,II,-0.00249156094668276,0.686046511627907,0.565891472868217,0.625968992248062,0.767441860465116,0.480394808004327,FALSE
1337,11,769.815716049447,0.82945270571246,8,490.982344183892,0.0545649710077572,0,0.0823864403278569,0.0278214693200996,Mts. Iglit-Baco Natural Park,Natural Park,National,II,Federal or national ministry or agency,Designated,2018,PHL,1066.41909254128,Asia,II,-0.0545649710077572,0.60077519379845,0.701550387596899,0.651162790697675,0.290697674418605,0.189291508923743,FALSE
1406,15,841.592874152751,0.771150249274806,6,331.60798858736,0.00596861607004282,0,0.0245929480117689,0.018624331941726,Mae Tuen,Wildlife Sanctuary,National,Ia,Federal or national ministry or agency,Designated,1978,THA,1239.337359229,Asia,Ia,-0.00596861607004282,0.406976744186047,0.492248062015504,0.449612403100775,0.627906976744186,0.282314764737696,FALSE
1917,7,390.440614286489,0.855423131849851,6,332.007220385187,0.00215470514036751,0,0.00878231728463299,0.00662761214426548,Muara Kaman Sedulang,Nature Reserve,National,Ia,Federal or national ministry or agency,Designated,0,IDN,1478.87789993212,Asia,Ia,-0.00215470514036751,0.693798449612403,0.496124031007752,0.594961240310077,0.794573643410853,0.472740520401418,FALSE
2262,26,1102.62052542348,0.568841378091853,8,281.953931060138,0.000140054109761796,0,0.000278188994537387,0.000138134884775591,Gribingui-Bamingui,Faunal Reserve,National,IV,Not Reported,Designated,1940,CAF,4321.52290784529,Africa,IV,-0.000140054109761796,0.143410852713178,0.39922480620155,0.271317829457364,1,0.271317829457364,FALSE
2266,29,967.57310101547,0.699629699718461,9,304.491677042739,0.00198366597319312,0,0.00394745688820374,0.00196379091501061,Léfini,Wildlife Reserve,National,IV,Federal or national ministry or agency,Designated,2008,COG,3497.79562135212,Africa,IV,-0.00198366597319312,0.286821705426357,0.445736434108527,0.366279069767442,0.813953488372093,0.298134126554895,FALSE
3275,9,554.887088349199,0.805683486686834,5,260.88888698581,0.155955924085668,0,0.452863410738623,0.296907486652955,Yaba-Hita-Hikosan,Quasi National Park,National,V,Sub-national ministry or agency,Designated,1950,JPN,848.126054279782,Asia,V,-0.155955924085668,0.51937984496124,0.348837209302326,0.434108527131783,0.0775193798449612,0.0336518238086653,FALSE
4106,16,610.545918825698,0.711927897788248,8,360.876577785012,0.0025126892138733,0,0.00386973757987399,0.00135704836600069,Bangweulu,Game Management Area,National,VI,Collaborative governance,Designated,1971,ZMB,6650.30723729126,Africa,VI,-0.0025126892138733,0.298449612403101,0.554263565891473,0.426356589147287,0.763565891472868,0.32555134907758,FALSE
4176,97,2852.81729641705,0.655035919525024,24,714.561061210924,0.00346657235089524,0,0.00521928872760184,0.0017527163767066,SPATSIZI PLATEAU WILDERNESS PARK,A - Park,National,II,Sub-national ministry or agency,Designated,1975,CAN,6963.48770627735,Americas,II,-0.00346657235089524,0.232558139534884,0.798449612403101,0.515503875968992,0.717054263565892,0.369644252148308,FALSE
5081,110,1923.4279389286,0.637538544996741,18,342.415794846003,0.00158274929609529,0,0.00232439568877225,0.000741646392676968,Mavinga National Park,National Park,National,II,Not Reported,Designated,2011,AGO,42257.6763424122,Africa,II,-0.00158274929609529,0.205426356589147,0.515503875968992,0.36046511627907,0.833333333333333,0.300387596899225,FALSE
6260,19,667.341784926118,0.749119149097897,10,290.757804265841,0.112313472157048,1,0.834960552728939,0.722647080571891,Morvan,Regional Nature Park,National,V,Federal or national ministry or agency,Designated,1970,FRA,3249.57038389089,Europe,V,-0.112313472157048,0.352713178294574,0.426356589147287,0.38953488372093,0.162790697674419,0.0634126554894538,FALSE
6295,5,78.3354230233804,0.901181056987682,5,78.3354230233804,0.101511479056052,1,0.864678747039369,0.763167267983316,Armorique,Regional Nature Park,National,V,Federal or national ministry or agency,Designated,1969,FRA,1258.88858891924,Europe,V,-0.101511479056052,0.821705426356589,0.00775193798449612,0.414728682170543,0.189922480620155,0.0787663001021573,FALSE
6308,11,319.439133753461,0.905884518101221,11,319.439133753461,0.0346740686675333,0.918472147070074,0.962431544683888,0.927757476016355,Volcans D\'Auvergne,Regional Nature Park,National,V,Federal or national ministry or agency,Designated,1977,FRA,3895.29097298237,Europe,V,-0.0346740686675333,0.833333333333333,0.465116279069768,0.64922480620155,0.36046511627907,0.234022895258698,FALSE
10087,5,121.787925149067,0.936875704411907,5,121.787925149067,0.0255512411617566,0,0.0512381333581491,0.0256868921963925,Dhorpatan,Hunting Reserve,National,VI,Federal or national ministry or agency,Designated,1987,NPL,1192.46123900945,Asia,VI,-0.0255512411617566,0.910852713178295,0.0697674418604651,0.49031007751938,0.403100775193798,0.197644372333393,FALSE
10091,8,222.014796217553,0.901206795481149,7,184.667230522845,0.0363151014078902,0.264374166975253,0.0738899537496896,0.0375748523417994,Annapurna,Conservation Area,National,VI,Non-profit organisations,Designated,1992,NPL,7761.66623339001,Asia,VI,-0.0363151014078902,0.825581395348837,0.205426356589147,0.515503875968992,0.348837209302326,0.179826933477555,FALSE
10772,44,3699.13074783237,0.521038603958898,15,807.76923485682,0.00732499358246781,0,0.013275611717244,0.00595061813477617,Sur del Estado Bolívar,Protective Zone (ZP),National,VI,Collaborative governance,Designated,1975,VEN,49854.9850602024,Americas,VI,-0.00732499358246781,0.0930232558139535,0.84108527131783,0.467054263565892,0.608527131782946,0.284215191394748,FALSE
10781,72,7181.71419701785,0.498883722139061,15,758.242838628884,0.0163571224768857,0,0.0289797540868607,0.012622631609975,Sipapo,Forest Reserve (RF),National,VI,Federal or national ministry or agency,Designated,1963,VEN,19831.279046813,Americas,VI,-0.0163571224768857,0.0775193798449612,0.813953488372093,0.445736434108527,0.465116279069768,0.207319271678385,FALSE
10782,7,470.669804801069,0.947826695721376,7,470.669804801069,0.0116608815430887,0,0.0172128301767607,0.00555194863367192,San Camilo,Forest Reserve (RF),National,VI,Federal or national ministry or agency,Designated,1961,VEN,667.980023605995,Americas,VI,-0.0116608815430887,0.934108527131783,0.686046511627907,0.810077519379845,0.538759689922481,0.436437113154258,FALSE
10783,11,536.173204429232,0.804732397708637,6,266.785932651812,0.00931591477440369,0,0.0183657375012088,0.00904982272680508,Caparo,Forest Reserve (RF),National,VI,Federal or national ministry or agency,Designated,1961,VEN,1750.6912220661,Americas,VI,-0.00931591477440369,0.515503875968992,0.36046511627907,0.437984496124031,0.573643410852713,0.251246920257196,FALSE
10787,9,802.003675410598,0.667708997363732,5,355.422839641706,0.00196859334972355,0,0.00385712964449853,0.00188853629477498,La Paragua,Forest Reserve (RF),National,VI,Federal or national ministry or agency,Designated,1968,VEN,8462.98818880911,Americas,VI,-0.00196859334972355,0.251937984496124,0.542635658914729,0.397286821705426,0.817829457364341,0.324912865813353,FALSE
10795,18,1809.67142637726,0.808000673469871,12,1191.08131718749,0.00199391765297028,0,0.00811473892599171,0.00612082127302143,Reserva Biológica Do Gurupi,Biological Reserve,National,Ia,Sub-national ministry or agency,Designated,1988,BRA,2714.63547973409,Americas,Ia,-0.00199391765297028,0.538759689922481,0.914728682170543,0.726744186046512,0.806201550387597,0.58590228952587,TRUE
