SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,n_high_cells,high_carbon_area,mean_net_effect,obs_occurrence_high,pred_inside_high,pred_outside_high,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,continent,IUCN_group,gap_like,carbon_rank,area_rank,asset_score,gap_rank,priority_score,priority_flag,effect_rank,priority_cut,lon,lat,priority_rank,size_class,designation_group,governance_group
129,14,379.180996647993,0.801134502860606,7,183.640765017342,0.00209003098249773,0,0.00306989328068314,0.000979862298185413,El Tuparro,National Natural Park,National,II,Federal or national ministry or agency,Designated,1980,COL,5547.54021497346,Americas,II,-0.00209003098249773,0.460176991150443,0.20353982300885,0.331858407079646,0.798449612403101,0.0734200015662934,FALSE,0.221238938053097,0.507126634818702,-68.3285714285714,5.20714285714285,0.190265486725664,Large,Other designations,Government
130,52,5488.84474064906,0.454661529985054,5,345.551644681408,0.00493502565600557,0,0.00725667358601706,0.00232164793001149,Sierra de la Macarena,National Natural Park,National,II,Federal or national ministry or agency,Designated,1971,COL,6204.44043075182,Americas,II,-0.00493502565600557,0.0398230088495575,0.557522123893805,0.298672566371681,0.651162790697675,0.113654162424622,FALSE,0.380530973451327,0.507126634818702,-73.5942307692308,2.63653846153846,0.292035398230089,Large,Other designations,Government
132,35,2350.83218679606,0.647867960234983,8,452.595989006729,0.0320850243206593,0,0.0479009764356414,0.0158159521149822,Sierra Nevada de Santa Marta,National Natural Park,National,II,Federal or national ministry or agency,Designated,1964,COL,5741.59966177165,Americas,II,-0.0320850243206593,0.199115044247788,0.685840707964602,0.442477876106195,0.375968992248062,0.291722139556739,FALSE,0.65929203539823,0.507126634818702,-73.5871428571429,10.8157142857143,0.623893805309734,Large,Other designations,Government
322,9,674.452966234052,0.790373836169495,6,389.046352539653,0.0278794334033942,0,0.0512275650605437,0.0233481316571496,"Páramos de Tamá, Cobre y Judio",National Park (PN),National,II,Federal or national ministry or agency,Designated,1978,VEN,1381.27638741369,Americas,II,-0.0278794334033942,0.433628318584071,0.619469026548673,0.526548672566372,0.395348837209302,0.335500039157334,FALSE,0.63716814159292,0.507126634818702,-72.2055555555556,7.44999999999999,0.712389380530973,Small,National Park,Government
350,48,1250.56650499132,0.676379929298747,15,354.770530533553,0.0125837496745387,0,0.0185779155337388,0.00599416585920014,Bicuar National Park,National Park,National,II,Not Reported,Designated,1964,AGO,6751.98640050913,Africa,II,-0.0125837496745387,0.234513274336283,0.566371681415929,0.400442477876106,0.51937984496124,0.207308716422586,FALSE,0.517699115044248,0.507126634818702,14.8041666666667,-15.2958333333333,0.460176991150443,Large,National Park,Other governance
361,9,388.379071760545,0.831702068804109,6,236.095803536946,0.132322928538951,0,0.287985771972049,0.155662843433099,Guy Fawkes River,National Park,National,Ib,Sub-national ministry or agency,Designated,2010,AUS,1082.35992507895,Oceania,Ib,-0.132322928538951,0.606194690265487,0.31858407079646,0.462389380530973,0.12015503875969,0.413286083483436,FALSE,0.893805309734513,0.507126634818702,152.25,-30.0833333333333,0.814159292035398,Small,National Park,Government
410,10,192.363761881058,0.836316492591768,7,103.40299532601,0.162363556857102,0.342893510620631,0.279697163806666,0.117333606949564,Cape Melville,National Park Aboriginal,National,II,Joint governance,Designated,2013,AUS,1699.88119120079,Oceania,II,-0.162363556857102,0.619469026548673,0.0398230088495575,0.329646017699115,0.0697674418604651,0.310684078627927,FALSE,0.942477876106195,0.507126634818702,144.57,-14.52,0.663716814159292,Medium,National Park,Other governance
606,20,373.786997582997,0.817835837970857,14,263.415608067433,0.00363166747750651,0,0.00533679522899728,0.00170512775149077,Bouba Ndjida,National Park,National,II,Federal or national ministry or agency,Designated,1968,CMR,2115.47176412852,Africa,II,-0.00363166747750651,0.575221238938053,0.36283185840708,0.469026548672566,0.713178294573643,0.145273709765839,FALSE,0.309734513274336,0.507126634818702,14.66,8.66499999999999,0.34070796460177,Medium,National Park,Government
607,15,335.485705849897,0.738972859918505,5,121.262554998187,0.00376890465882834,0,0.0055395172135267,0.00177061255469836,Bénoué,National Park,National,II,Federal or national ministry or agency,Designated,1968,CMR,1980.33686048121,Africa,II,-0.00376890465882834,0.305309734513274,0.0663716814159292,0.185840707964602,0.701550387596899,0.0600281932806015,FALSE,0.323008849557522,0.507126634818702,13.8033333333333,8.31666666666666,0.163716814159292,Medium,National Park,Government
618,36,1802.37546485886,0.923031289587919,35,1774.76840162769,0.119562428406793,0.255327630713123,0.194657710343384,0.0750952819365916,Riding Mountain National Park Of Canada,National Park,National,II,Federal or national ministry or agency,Designated,1929,CAN,3059.49635245151,Americas,II,-0.119562428406793,0.86283185840708,0.960176991150442,0.911504424778761,0.143410852713178,0.794541467616885,TRUE,0.871681415929204,0.507126634818702,-100.191666666667,50.825,0.995575221238938,Medium,National Park,Government
