SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,carbon_asset,mean_delta_pa,excess_pest_signal,monitoring_score_raw,pred_inside_mean,pred_outside_mean,obs_occurrence,record_intensity,mean_sampling_effort,mean_ele,mean_temp,mean_precip_seasonality,lon,lat,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,IUCN_group,carbon_asset_rank,excess_signal_rank,monitoring_score,monitoring_rank,priority_flag
30,121,12234.9509887277,0.327257376779684,4003.97796559902,0.00207728387703681,0.00207728387703681,9.06445960319468,0.00406131738796315,0.00198403351092634,0.00935894138853646,0.0129742476729797,1.14478885370857,485.361959857929,244.268690121049,53.3226350690025,-65.9433997875043,-16.1658265229282,Isiboro Securé,National Park and Indigenous Territory,National,Not Reported,Federal or national ministry or agency,Designated,1965,BOL,13008.4325590244,Other/Not reported,0.981123388581952,0.322283609576427,0.316199987112047,0.69475138121547,FALSE
31,128,12030.4179351286,0.288399879794316,3469.57108636646,0.000692121165876497,0.000692121165876497,1.90825767677822,0.00129878028022693,0.000606659114350432,0,0,2.54339327501195,329.681521703862,234.114953375731,68.5175956133072,-60.8672585404763,-14.2809205745583,Noel Kempff Mercado,National Park,National,Not Reported,Federal or national ministry or agency,Designated,1979,BOL,16171.9289438503,Other/Not reported,0.97744014732965,0.152394106813996,0.148956118216443,0.415745856353591,FALSE
35,64,6839.4501769949,0.181498457100861,1241.34965454278,0.00258047829263381,0.00258047829263381,3.34880952294922,0.00483082650863159,0.00225034821599777,0.0370840866530407,0.0257047301071958,1.27761657343798,218.900843699645,256.237295868463,56.3763998627592,-68.2264096654307,-11.8550327349036,Manuripi,National Wildlife Reserve,National,Not Reported,Federal or national ministry or agency,Designated,1973,BOL,7467.73662999586,Other/Not reported,0.907918968692449,0.370165745856354,0.336080502223172,0.72329650092081,FALSE
42,10,483.953996088711,0.516347605490224,249.888487047831,0.000903033499539269,0.000903033499539269,0.219524058879473,0.00180709489819636,0.000904061398657087,0,0,1.29082608440553,9.5629750968268,267.115473935398,70.8986502176608,-50.1771398120219,1.50383737105735,Reserva Biológica Do Lago Piratuba,Biological Reserve,National,Ia,Sub-national ministry or agency,Designated,1984,BRA,3924.71083610059,Ia,0.540055248618785,0.187845303867403,0.101446842281982,0.309852670349908,FALSE
43,6,601.93680435298,0.179227615410274,107.883698071865,0.00175074968715436,0.00175074968715436,0.240911458283946,0.0033123449925317,0.00156159530537734,0,0,2.06906304161586,41.2845602850484,273.731693188764,50.3109917175767,-56.5733871341482,-1.27100613944293,Reserva Biológica Do Rio Trombetas,Biological Reserve,National,Ia,Sub-national ministry or agency,Designated,1979,BRA,4077.56378081086,Ia,0.283149171270718,0.292357274401473,0.0827807199617431,0.259668508287293,FALSE
44,11,1128.0476717506,0.385452583595909,434.808889495619,0.000366098849470745,0.000366098849470745,0.192357895990391,0.000715507651763098,0.000349408802292353,0,0,1.23418882173734,174.976376260099,248.348202640519,76.6943360205207,-61.7456805490183,-9.89484091438159,Reserva Biológica Do Jaru,Biological Reserve,National,Ia,Sub-national ministry or agency,Designated,1979,BRA,3468.60892247594,Ia,0.723756906077348,0.069060773480663,0.0499832117456732,0.183241252302026,FALSE
54,31,3465.24620335556,0.235376125531034,815.636225356957,0.000550446697694193,0.000550446697694193,0.505365590275983,0.00104946276082891,0.000499016063134716,0,0,1.45783562438359,93.560990257189,267.293792799425,20.7151029984205,-66.1101098238993,0.159886632294625,Parque Nacional Do Pico Da Neblina,Park,National,II,Sub-national ministry or agency,Designated,1979,BRA,22524.0906096427,II,0.853591160220995,0.124309392265193,0.106109398370013,0.322283609576427,FALSE
55,39,4585.3514751172,0.0745455131015483,341.817378463553,0.000712631842097178,0.000712631842097178,0.358039437639498,0.0013049444981274,0.000592312656030218,0.0269511865540544,0.0592178094849417,0.638740626451992,118.360798126037,267.79372390701,48.7048165164022,-56.8543921028765,-4.42191003824392,Parque Nacional Da Amazônia,Park,National,II,Sub-national ministry or agency,Designated,1985,BRA,10663.0459688437,II,0.645027624309392,0.155156537753223,0.100080252943032,0.306629834254144,FALSE
60,19,1373.94474751131,0.569620878336146,782.627613862726,0.00585532281684688,0.00585532281684688,4.94409445145144,0.011893364406037,0.00603804158919016,0.094807110832932,0.191105762885201,4.91271526476509,355.908859769108,197.248290571486,22.9762039308882,-53.9387288663929,-25.4277724800053,Parque Nacional Do Iguaçu,Park,National,II,Sub-national ministry or agency,Designated,1939,BRA,1696.9582508191,II,0.845764272559853,0.535451197053407,0.452865492167177,0.85036832412523,FALSE
83,105,3479.42953697192,0.498486179645917,1734.4475372323,0.00147204254489559,0.00147204254489559,2.51904121351944,0.00294802248485756,0.00147597993996198,0,0,0.810821471921593,301.87522193879,74.5381157460494,10.7044102133629,-74.4051213886545,-46.7263667437619,Laguna San Rafael,National Park,National,Not Reported,Not Reported,Designated,1959,CHL,17096.7466693029,Other/Not reported,0.938766114180479,0.265193370165746,0.248954549616923,0.592081031307551,FALSE
